id,gx_id,ticker,ex_date,payable_date,dvd_amount,currency
3134,NULL,NA CN,2000-09-26 00:00:00.000,2000-11-01 00:00:00.000,0.095,CAD
3135,NULL,NA CN,2000-06-20 00:00:00.000,2000-08-01 00:00:00.000,0.095,CAD
3136,NULL,NA CN,2000-03-21 00:00:00.000,2000-05-01 00:00:00.000,0.095,CAD
3137,NULL,NA CN,1999-12-24 00:00:00.000,2000-02-01 00:00:00.000,0.09,CAD
3138,NULL,NA CN,1999-09-21 00:00:00.000,1999-11-01 00:00:00.000,0.09,CAD
3139,NULL,NA CN,1999-06-21 00:00:00.000,1999-08-01 00:00:00.000,0.09,CAD
3140,NULL,NA CN,1999-03-23 00:00:00.000,1999-05-01 00:00:00.000,0.085,CAD
3141,NULL,NA CN,1998-12-23 00:00:00.000,1999-02-01 00:00:00.000,0.085,CAD
3142,NULL,NA CN,1998-09-22 00:00:00.000,1998-11-01 00:00:00.000,0.085,CAD
3143,NULL,NA CN,1998-06-23 00:00:00.000,1998-08-01 00:00:00.000,0.085,CAD
3144,NULL,NA CN,1998-03-24 00:00:00.000,1998-05-01 00:00:00.000,0.085,CAD
3145,NULL,NA CN,1997-12-23 00:00:00.000,1998-02-01 00:00:00.000,0.075,CAD
3146,NULL,NA CN,1997-09-24 00:00:00.000,1997-11-01 00:00:00.000,0.075,CAD
3147,NULL,NA CN,1997-06-23 00:00:00.000,1997-08-01 00:00:00.000,0.075,CAD
3148,NULL,NA CN,1997-03-25 00:00:00.000,1997-05-01 00:00:00.000,0.075,CAD
3149,NULL,NA CN,1996-12-23 00:00:00.000,1997-02-01 00:00:00.000,0.0625,CAD
3150,NULL,NA CN,1996-09-23 00:00:00.000,1996-11-01 00:00:00.000,0.0625,CAD
3151,NULL,NA CN,1996-06-24 00:00:00.000,1996-08-01 00:00:00.000,0.0625,CAD
3152,NULL,NA CN,1996-03-24 00:00:00.000,1996-05-01 00:00:00.000,0.0625,CAD
3153,NULL,NA CN,1995-12-21 00:00:00.000,1996-02-01 00:00:00.000,0.0575,CAD
3154,NULL,NA CN,1995-09-25 00:00:00.000,1995-11-01 00:00:00.000,0.05,CAD
3155,NULL,NA CN,1995-06-26 00:00:00.000,1995-08-01 00:00:00.000,0.05,CAD
3156,NULL,NA CN,1995-03-23 00:00:00.000,1995-05-01 00:00:00.000,0.05,CAD
3157,NULL,NA CN,1994-12-20 00:00:00.000,1995-02-01 00:00:00.000,0.05,CAD
3158,NULL,NA CN,1994-09-20 00:00:00.000,1994-11-01 00:00:00.000,0.05,CAD
3159,NULL,NA CN,1994-06-22 00:00:00.000,1994-08-01 00:00:00.000,0.05,CAD
3160,NULL,NA CN,1994-03-23 00:00:00.000,1994-05-01 00:00:00.000,0.05,CAD
3161,NULL,NA CN,1993-12-17 00:00:00.000,1994-02-01 00:00:00.000,0.05,CAD
3162,NULL,NA CN,1993-09-22 00:00:00.000,1993-11-01 00:00:00.000,0.05,CAD
3163,NULL,NA CN,1993-06-22 00:00:00.000,1993-08-01 00:00:00.000,0.05,CAD
3164,NULL,NA CN,1993-03-23 00:00:00.000,1993-05-01 00:00:00.000,0.05,CAD
3165,NULL,NA CN,1992-12-23 00:00:00.000,1993-02-01 00:00:00.000,0.05,CAD
3166,NULL,NA CN,1992-09-18 00:00:00.000,1992-11-01 00:00:00.000,0.05,CAD
3167,NULL,NA CN,1992-06-19 00:00:00.000,1992-08-01 00:00:00.000,0.1,CAD
3168,NULL,NA CN,1992-03-20 00:00:00.000,1992-05-01 00:00:00.000,0.1,CAD
3169,NULL,NA CN,1991-12-18 00:00:00.000,1992-02-01 00:00:00.000,0.1,CAD
3170,NULL,NA CN,1991-09-20 00:00:00.000,1991-11-01 00:00:00.000,0.1,CAD
3171,NULL,NA CN,1991-06-21 00:00:00.000,1991-08-01 00:00:00.000,0.1,CAD
3172,NULL,NA CN,1991-03-22 00:00:00.000,1991-05-01 00:00:00.000,0.1,CAD
3173,NULL,NA CN,1990-12-19 00:00:00.000,1991-02-01 00:00:00.000,0.1,CAD
3174,NULL,NA CN,1990-09-21 00:00:00.000,1990-11-01 00:00:00.000,0.1,CAD
3175,NULL,NA CN,1990-09-11 00:00:00.000,1990-09-17 00:00:00.000,1,CAD
3176,NULL,NA CN,1990-06-22 00:00:00.000,1990-08-01 00:00:00.000,0.1,CAD
3177,NULL,NA CN,1990-03-23 00:00:00.000,1990-05-01 00:00:00.000,0.1,CAD
3178,NULL,NA CN,1989-12-20 00:00:00.000,1990-02-01 00:00:00.000,0.1,CAD
3179,NULL,NA CN,1989-09-22 00:00:00.000,1989-11-01 00:00:00.000,0.09,CAD
3180,NULL,NA CN,1989-06-23 00:00:00.000,1989-08-01 00:00:00.000,0.09,CAD
3181,NULL,NA CN,1989-03-23 00:00:00.000,1989-05-01 00:00:00.000,0.09,CAD
3182,NULL,NA CN,1988-12-21 00:00:00.000,1989-02-01 00:00:00.000,0.09,CAD
3183,NULL,NA CN,1988-09-23 00:00:00.000,1988-11-01 00:00:00.000,0.08,CAD
3184,NULL,NA CN,1988-06-23 00:00:00.000,1988-08-01 00:00:00.000,0.08,CAD
3185,NULL,NA CN,1988-03-24 00:00:00.000,1988-05-01 00:00:00.000,0.08,CAD
3186,NULL,NA CN,1987-12-22 00:00:00.000,1988-02-01 00:00:00.000,0.08,CAD
3187,NULL,NA CN,1987-09-23 00:00:00.000,1987-11-01 00:00:00.000,0.07,CAD
3188,NULL,NA CN,1987-06-23 00:00:00.000,1987-08-01 00:00:00.000,0.07,CAD
3189,NULL,NA CN,1987-03-24 00:00:00.000,1987-05-01 00:00:00.000,0.07,CAD
3190,NULL,NA CN,1987-02-18 00:00:00.000,1987-03-06 00:00:00.000,2,CAD
3191,NULL,NA CN,1986-12-22 00:00:00.000,1987-02-01 00:00:00.000,0.07,CAD
3192,NULL,NA CN,1986-09-23 00:00:00.000,1986-11-01 00:00:00.000,0.0625,CAD
3193,NULL,NA CN,1986-06-23 00:00:00.000,1986-08-01 00:00:00.000,0.0625,CAD
3194,NULL,NA CN,1986-03-21 00:00:00.000,1986-05-01 00:00:00.000,0.0625,CAD
